epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,2192.15,0.91258,1.68172,0.90895,1.18803,0.90449,0.88804,0.94444,0.74019,0.90298,0.88658,0.94424,0.70375,0.79092,1.35308,0.59829,1.10932,0.000693305,0.000693305,0.000693305
61,2228.61,0.93779,1.67181,0.92452,1.20667,0.89971,0.86534,0.93917,0.74949,0.89971,0.86534,0.9381,0.70421,0.75841,1.34372,0.57534,1.09976,0.000676802,0.000676802,0.000676802
62,2264.96,0.94595,1.65799,0.92339,1.20479,0.93654,0.85829,0.94928,0.75722,0.93654,0.85829,0.94894,0.71523,0.76456,1.32788,0.5599,1.10344,0.000660299,0.000660299,0.000660299
63,2301.42,0.93119,1.61155,0.89018,1.18396,0.92441,0.87153,0.95064,0.76389,0.92503,0.87234,0.94969,0.71959,0.74628,1.33029,0.55361,1.08849,0.000643795,0.000643795,0.000643795
64,2337.96,0.90485,1.60059,0.88595,1.16875,0.9408,0.87576,0.96116,0.77322,0.9408,0.87576,0.9609,0.72989,0.7466,1.29512,0.53005,1.08824,0.000627292,0.000627292,0.000627292
65,2374.59,0.90505,1.65124,0.91973,1.16818,0.95063,0.89667,0.96778,0.78627,0.95063,0.89667,0.96733,0.73475,0.744,1.29062,0.52108,1.07686,0.000610789,0.000610789,0.000610789
66,2410.96,0.91729,1.56574,0.87906,1.17183,0.92775,0.90124,0.96078,0.78532,0.92775,0.90124,0.96073,0.73932,0.71632,1.28969,0.53182,1.06846,0.000594286,0.000594286,0.000594286
67,2447.35,0.89204,1.60081,0.8566,1.14623,0.92929,0.89286,0.9565,0.77534,0.92942,0.89096,0.95665,0.73093,0.72559,1.28383,0.5328,1.07319,0.000577782,0.000577782,0.000577782
68,2483.48,0.86253,1.56382,0.82552,1.14823,0.90724,0.88515,0.94969,0.77782,0.90665,0.88442,0.94862,0.73054,0.70956,1.26515,0.53736,1.06239,0.000561279,0.000561279,0.000561279
69,2520.27,0.8874,1.56144,0.86275,1.14406,0.93233,0.90246,0.96553,0.78168,0.93233,0.90246,0.96608,0.73224,0.71778,1.25433,0.50972,1.07373,0.000544776,0.000544776,0.000544776
70,2557.01,0.85894,1.55903,0.84052,1.13606,0.92307,0.91619,0.96587,0.79297,0.92,0.91328,0.96245,0.74389,0.70473,1.25353,0.50156,1.05988,0.000528272,0.000528272,0.000528272
71,2594.11,0.84133,1.50937,0.81411,1.12226,0.92958,0.93005,0.97149,0.8074,0.92958,0.93005,0.9712,0.75364,0.67913,1.23124,0.47027,1.03797,0.000511769,0.000511769,0.000511769
72,2631.1,0.87191,1.59509,0.84281,1.15016,0.94763,0.91601,0.96871,0.80576,0.94763,0.91601,0.96901,0.7513,0.6659,1.22223,0.46438,1.03331,0.000495266,0.000495266,0.000495266
73,2667.83,0.86251,1.51963,0.78655,1.14235,0.93776,0.92649,0.96647,0.80875,0.93737,0.93114,0.96601,0.7566,0.65659,1.20356,0.46367,1.02737,0.000478762,0.000478762,0.000478762
74,2704.49,0.82928,1.49825,0.79932,1.13525,0.94329,0.92549,0.9746,0.81976,0.94329,0.92549,0.97484,0.76261,0.66239,1.19482,0.47017,1.02773,0.000462259,0.000462259,0.000462259
75,2742.73,0.86578,1.52292,0.81607,1.14606,0.95563,0.92402,0.97747,0.82093,0.95563,0.92402,0.97824,0.76867,0.65144,1.19421,0.45036,1.02106,0.000445756,0.000445756,0.000445756
76,2779.73,0.81773,1.49549,0.75666,1.12055,0.95364,0.92032,0.97784,0.82105,0.95216,0.91886,0.97804,0.76832,0.65477,1.19314,0.45151,1.0199,0.000429253,0.000429253,0.000429253
77,2816.86,0.84644,1.53938,0.79764,1.12875,0.94942,0.92357,0.97265,0.82055,0.95095,0.92503,0.97454,0.76973,0.64558,1.16406,0.45017,1.01995,0.000412749,0.000412749,0.000412749
78,2853.99,0.81878,1.4868,0.74098,1.11169,0.95183,0.93782,0.98004,0.83082,0.95183,0.93782,0.9806,0.77196,0.6308,1.17114,0.44462,1.00543,0.000396246,0.000396246,0.000396246
79,2890.83,0.83906,1.52483,0.79046,1.13693,0.95577,0.935,0.98063,0.83414,0.95577,0.935,0.9808,0.77682,0.62972,1.15111,0.43156,1.00324,0.000379743,0.000379743,0.000379743
